cell_line,treatment,perturbation,replicate,time,concentration,cell_count,cell_count__ctrl,cell_count__time0
U87,ABEMACICLIB,0,1,72,0.001,475,423,93
U87,ABEMACICLIB,0,1,72,0.003162,383.25,423,93
U87,ABEMACICLIB,0,1,72,0.01,284,423,93
U87,ABEMACICLIB,0,1,72,0.03162,229.75,423,93
U87,ABEMACICLIB,0,1,72,0.1,166.75,423,93
U87,ABEMACICLIB,0,1,72,0.3162,114.25,423,93
U87,ABEMACICLIB,0,1,72,1,110,423,93
U87,ABEMACICLIB,0,1,72,3.162,113,423,93
U87,ABEMACICLIB,0,1,72,10,56.5,423,93
U87,ABEMACICLIB,0,2,72,0.001,396,465,93
U87,ABEMACICLIB,0,2,72,0.003162,390.5,465,93
U87,ABEMACICLIB,0,2,72,0.01,277.8,465,93
U87,ABEMACICLIB,0,2,72,0.03162,224.25,465,93
U87,ABEMACICLIB,0,2,72,0.1,154,465,93
U87,ABEMACICLIB,0,2,72,0.3162,118.5,465,93
U87,ABEMACICLIB,0,2,72,1,120.75,465,93
U87,ABEMACICLIB,0,2,72,3.162,134.25,465,93
U87,ABEMACICLIB,0,2,72,10,76.5,465,93
U87,ABEMACICLIB,0,3,72,0.001,368,395,93
U87,ABEMACICLIB,0,3,72,0.003162,336.25,395,93
U87,ABEMACICLIB,0,3,72,0.01,287.8,395,93
U87,ABEMACICLIB,0,3,72,0.03162,228.75,395,93
U87,ABEMACICLIB,0,3,72,0.1,161.25,395,93
U87,ABEMACICLIB,0,3,72,0.3162,149.25,395,93
U87,ABEMACICLIB,0,3,72,1,120.5,395,93
U87,ABEMACICLIB,0,3,72,3.162,137,395,93
U87,ABEMACICLIB,0,3,72,10,73.75,395,93
U87,ABEMACICLIB,0,4,72,0.001,480.75,517.75,93
U87,ABEMACICLIB,0,4,72,0.003162,480,517.75,93
U87,ABEMACICLIB,0,4,72,0.01,432.6,517.75,93
U87,ABEMACICLIB,0,4,72,0.03162,394.5,517.75,93
U87,ABEMACICLIB,0,4,72,0.1,237.75,517.75,93
U87,ABEMACICLIB,0,4,72,0.3162,198.75,517.75,93
U87,ABEMACICLIB,0,4,72,1,179.5,517.75,93
U87,ABEMACICLIB,0,4,72,3.162,196.75,517.75,93
U87,ABEMACICLIB,0,4,72,10,149.75,517.75,93
U87,ABEMACICLIB,0,5,72,0.001,407.75,465.5,93
U87,ABEMACICLIB,0,5,72,0.003162,383.75,465.5,93
U87,ABEMACICLIB,0,5,72,0.01,403.8,465.5,93
U87,ABEMACICLIB,0,5,72,0.03162,322.25,465.5,93
U87,ABEMACICLIB,0,5,72,0.1,214,465.5,93
U87,ABEMACICLIB,0,5,72,0.3162,161.5,465.5,93
U87,ABEMACICLIB,0,5,72,1,145.25,465.5,93
U87,ABEMACICLIB,0,5,72,3.162,145.25,465.5,93
U87,ABEMACICLIB,0,5,72,10,24,465.5,93
U87,ABEMACICLIB,0,6,72,0.001,401.25,462.75,93
U87,ABEMACICLIB,0,6,72,0.003162,330.5,462.75,93
U87,ABEMACICLIB,0,6,72,0.01,361.8,462.75,93
U87,ABEMACICLIB,0,6,72,0.03162,283.25,462.75,93
U87,ABEMACICLIB,0,6,72,0.1,177.25,462.75,93
U87,ABEMACICLIB,0,6,72,0.3162,124.75,462.75,93
U87,ABEMACICLIB,0,6,72,1,137.5,462.75,93
U87,ABEMACICLIB,0,6,72,3.162,156,462.75,93
U87,ABEMACICLIB,0,6,72,10,2.5,462.75,93
U87,ALECTINIB,0,1,72,0.001,692,666.5,93
U87,ALECTINIB,0,1,72,0.003162,609.25,666.5,93
U87,ALECTINIB,0,1,72,0.01,640.2,666.5,93
U87,ALECTINIB,0,1,72,0.03162,611.5,666.5,93
U87,ALECTINIB,0,1,72,0.1,544.75,666.5,93
U87,ALECTINIB,0,1,72,0.3162,622.5,666.5,93
U87,ALECTINIB,0,1,72,1,513.75,666.5,93
U87,ALECTINIB,0,1,72,3.162,336.75,666.5,93
U87,ALECTINIB,0,1,72,10,143.25,666.5,93
U87,ALECTINIB,0,2,72,0.001,727.25,673.25,93
U87,ALECTINIB,0,2,72,0.003162,671,673.25,93
U87,ALECTINIB,0,2,72,0.01,654.8,673.25,93
